Support Service Categories,Stage of Orgs Supported,Industries Supported,Demographics Supported,Languages Supported,Name of Organization,Description of Organization,Testimonial,Location of Organization,Phone Number,Email One,Email Two,Email Three,Website of Organization,Facebook URL,Twitter URL,Instagram URL,Linkedin URL,YouTube URL,Meetup URL,Preferred Contact,Preferred Email,Business Hours,Messaging On/Off,Referral Code On/Off,Referral Code,Referral Code Description,Referral Code Expiration
"Community Support ,Education & Training ,Business/Entrepreneur Resources",,,,,Illinois Economic Development Association,"The Illinois Economic Development Association (IEDA) is a statewide professional economic development association that supports advocacy, education and collaboration to enhance Illinois’ global competitiveness.",,"225 East Cook Street, Springfield, IL 62704, USA",(217) 789-6252,info@ileda.org,,,https://www.ileda.org/,,,,,,,,,,off,off,,,
"Business Setup ,Community Support ,Education & Training ,Networking ,Business/Entrepreneur Resources",,,,,Founders Illinois Entrepreneurs,"Founders is the student entrepreneurship organization at the University of Illinois. We're a community focused on supporting the next generation of entrepreneurs - to do this, we host events and offer resources to any UIUC student with an idea and the passion to work on it.",,"University of Illinois at Urbana-Champaign, Champaign, IL, USA",,team@founders.illinois.edu,,,http://founders.illinois.edu/index.html,https://www.facebook.com/illinoisfounders,,,,,,,,,off,off,,,
"Community Support ,Sales & Customer Acquisition ,Business/Entrepreneur Resources",,,,,Peoria Made,"The mission of Peoria Made is to help enable and empower our maker community through a digital storefront and physical space dedicated to generating more regional and national exposure; in turn increasing their ability to sell, grow, and scale.",,"315 Main Street, Peoria, Illinois, USA",,info@peoriama.de,,,https://peoriama.de/,https://www.facebook.com/peoriamade/,,https://www.instagram.com/peoria_made/,,,,,,,off,off,,,
"Community Support ,Health & Wellness ,COVID-19 Resources ,Business/Entrepreneur Resources",,,,,Illinois Department of Commerce & Economic Opportunity,"Access resources for businesses, workers, and residents related to COVID-19.",,"500 E Monroe St, Springfield, IL 62701, USA",(217) 782-7500,,,,https://www2.illinois.gov/dceo/Pages/default.aspx,https://www.facebook.com/illinoisdceo,https://twitter.com/IllinoisDCEO,,https://www.linkedin.com/company/illinoisdceo/,,,,,,off,off,,,
"Health & Wellness ,COVID-19 Resources ,Government ,Business/Entrepreneur Resources",,,,,Illinois Department of Public Health (IDPH),IDPH's vision is that communities of Illinois will achieve and maintain optimal health and safety.,,"535 W Jefferson St, Springfield, IL 62761, USA",(217) 782-4977,dph.director@illinois.gov,,,https://dph.illinois.gov/,https://www.facebook.com/IDPH.Illinois,https://twitter.com/IDPH,https://www.instagram.com/illinoisdph/,,,,,,,off,off,,,
"Community Support ,Funding, Development, & Capital ,Government ,Business/Entrepreneur Resources",,,,,City of Champaign,"Featuring an extensive park system, a world-class library, urban shopping choices and a variety of living accommodations, Champaign offers urban perks with smaller city comforts. Whether you’re a resident, visitor, or just curious, you’ll soon discover Champaign is the perfect place to live, work, and play.",,"102 N Neil St, Champaign, IL, USA",217-403-8700,citymanagersoffice@champaignil.gov,,,http://ci.champaign.il.us,https://www.facebook.com/ChampaignCity/,https://twitter.com/champaigncity,https://www.instagram.com/city.of.champaign/,https://www.linkedin.com/company/city-of-champaign/,https://www.youtube.com/cityofchampaign/featured,,,,,off,off,,,
"Accounting & Finance Management ,Business Setup ,Community Support ,Education & Training ,Incubators & Accelerators ,Communications, Marketing, & Public Relations ,Networking ,Prototyping & Manufacturing ,Technology & Software Services ,Design Services ,Arts & Entertainment ,Health & Wellness ,Food & Beverage ,Web Development ,Mentorship ,COVID-19 Resources ,Entrepreneur Support Organizations ,Small Businesses ,Civil Rights, Social Action & Advocacy ,Information Technology ,Management & Operations ,Agriculture & Animals ,Diversity, Equity, & Inclusion ,Food Network ,Business/Entrepreneur Resources",,,Black,,Parkland College,"Parkland has delivered vocational-technical and academic instruction since 1967. Our college has become a center for educational opportunity and community enrichment in east central Illinois and has earned a national reputation for its excellent academic standards, innovative programs, and quality instruction.",,"2400 W Bradley Ave, Champaign, IL 61821, USA",217-351-2200,admissions@parkland.edu,,,https://www.parkland.edu/,https://www.facebook.com/pc.community/,,https://www.instagram.com/parkland_college/,,https://www.youtube.com/channel/UCyhnBjCuDIRK9RUgpNNEuqQ,,,,,off,off,,,
"Community Support ,Education & Training ,Legal Services ,Prototyping & Manufacturing ,Health & Wellness ,Government ,Entrepreneur Support Organizations ,Service Providers ,Small Businesses ,Civil Rights, Social Action & Advocacy ,Facilitation ,Grant Writing ,Organizational Planning & Development ,Diversity, Equity, & Inclusion ,Business/Entrepreneur Resources",,,,,Champaign County Regional Planning Commission,"The Champaign County Regional Planning Commission is an intergovernmental membership organization that provides a variety of programming in the areas of regional, environmental, and transportation planning; economic, community, and workforce development; social services; early childhood education; and technical assistance in East Central Illinois.",,"1776 E Washington St, Urbana, IL 61802, USA",217-328-3313,info@ccrpc.org,klarson@ccrpc.org,,https://ccrpc.org/programs/,https://www.facebook.com/ChampaignCountyRPC/,https://twitter.com/champaignrpc?lang=en,,https://www.linkedin.com/company/champaign-county-rpc/,,,,,,off,off,,,
"Community Support ,Education & Training ,Incubators & Accelerators ,Networking ,Nonprofit Support ,Food & Beverage ,Location Services & Real Estate Development ,Commercialization ,Entrepreneur Support Organizations ,Small Businesses ,Civil Rights, Social Action & Advocacy ,Facilitation ,Diversity, Equity, & Inclusion ,Food Network ,Business/Entrepreneur Resources",,,,,Champaign Center Partnership,"Champaign Center Partnership is your local nonprofit BUSINESS ASSOCIATION for Champaign Center--a collaborative effort to market the Downtown, Midtown, and Campustown neighborhoods and promote small business development.",,"301 North Neil Street, Champaign, IL 61820, USA",217-352-2400,info@champaigncenter.com,,,https://champaigncenter.com/,https://www.facebook.com/ChampaignCenter,https://twitter.com/ChampaignCenter,https://www.instagram.com/champaigncenter/,https://www.linkedin.com/company/champaigncenter/,https://www.youtube.com/channel/UCD5FrOW_OdG4PCL07WFMiog,,,,,off,off,,,
"Business Setup ,Legal Services ,Prototyping & Manufacturing ,Commercialization ,Government ,Entrepreneur Support Organizations ,Business/Entrepreneur Resources",Minimum Viable Product,,,,US Patent and Trademark Office,"As a mechanism that protects new ideas and investments in innovation and creativity, the USPTO is at the cutting edge of the nation's technological progress and achievement.",,,800-972-6382,dsd@uspto.gov,,,https://www.uspto.gov,https://www.facebook.com/uspto.gov,https://twitter.com/uspto,https://www.instagram.com/uspto/,https://www.linkedin.com/company/uspto/,https://www.youtube.com/user/USPTOvideo,,,,,off,off,,,
